time (seconds),encoderLeft (meters),encoderRight (meters)
7.101,1.9612215757369995,1.2743738889694214
7.202,1.981602668762207,1.3011492490768433
7.302,2.0022363662719727,1.3280631303787231
7.4,2.0234036445617676,1.3550527095794678
7.501,2.046008825302124,1.3830373287200928
7.602,2.069598913192749,1.411725401878357
7.702,2.094287633895874,1.4411513805389404
7.802,2.1195452213287354,1.4709625244140625
7.902,2.145900011062622,1.501550316810608
7.999,2.173257827758789,1.5328712463378906
8.099,2.2012033462524414,1.564632773399353
8.199,2.230212688446045,1.5972100496292114
8.302,2.2597227096557617,1.6301783323287964
8.4,2.290102958679199,1.6638377904891968
8.502,2.3209822177886963,1.697899580001831
8.599,2.3528964519500732,1.7328094244003296
8.702,2.3856780529022217,1.7684422731399536
8.802,2.418938636779785,1.8044793605804443
8.901,2.4530115127563477,1.8412095308303833
9.002,2.4878058433532715,1.878562331199646
9.101,2.5229129791259766,1.9161877632141113
9.202,2.5586845874786377,1.9543969631195068
9.302,2.595165967941284,1.9932345151901245
9.401,2.6319358348846436,2.032329797744751
9.501,2.66934871673584,2.0720038414001465
9.600999999999999,2.707071304321289,2.1119582653045654
9.702,2.7453739643096924,2.1524415016174316
9.802,2.7840638160705566,2.193281650543213
9.902,2.8232553005218506,2.2345876693725586
10.002,2.8628344535827637,2.276256799697876
10.102,2.9026455879211426,2.3181443214416504
10.199,2.942777395248413,2.360337495803833
10.302,2.983264446258545,2.402872085571289
10.402,3.023933172225952,2.4455833435058594
10.501,3.064756393432617,2.4884467124938965
10.602,3.1058802604675293,2.5316109657287598
10.698,3.1472041606903076,2.5749800205230713
10.802,3.1887147426605225,2.618546962738037
10.902,3.2302896976470947,2.6621856689453125
11.002,3.2719812393188477,2.705961227416992
11.1,3.3137357234954834,2.749821186065674
11.202,3.3555095195770264,2.793713331222534
11.301,3.397298812866211,2.8376426696777344
11.401,3.439072370529175,2.881594181060791
11.499,3.480783462524414,2.9255287647247314
11.600999999999999,3.5224595069885254,2.9694466590881348
11.702,3.5640640258789062,3.0133254528045654
11.802,3.6055197715759277,3.057112216949463
11.902,3.646758794784546,3.100754737854004
12.002,3.687894344329834,3.144325017929077
12.103,3.728886842727661,3.1877944469451904
12.203,3.769540548324585,3.23102068901062
12.3,3.8100290298461914,3.2741260528564453
12.394,3.850315570831299,3.3170833587646484
12.502,3.890195608139038,3.3597412109375
12.596,3.9296021461486816,3.402047872543335
12.704,3.968848943710327,3.4442358016967773
12.804,4.007595539093018,3.486053466796875
12.902,4.04610013961792,3.5276918411254883
13.002,4.084133625030518,3.5689826011657715
13.101,4.121753215789795,3.6099698543548584
13.199,4.159035682678223,3.65071177482605
13.303,4.196043968200684,3.691253423690796
13.401,4.2327141761779785,3.7315502166748047
13.501,4.26842737197876,3.771162748336792
13.600999999999999,4.303731918334961,3.810486078262329
13.702,4.338316440582275,3.8493072986602783
13.802,4.372567653656006,3.8878986835479736
13.9,4.406141757965088,3.926030158996582
14.002,4.439171314239502,3.963796377182007
14.101,4.47182559967041,4.001314640045166
14.202,4.503707408905029,4.038331985473633
14.301,4.535000324249268,4.074974536895752
14.401,4.56591272354126,4.111380100250244
14.502,4.596048831939697,4.147310733795166
14.600999999999999,4.625584602355957,4.182885646820068
14.703,4.654603004455566,4.218160152435303
14.802,4.682927131652832,4.253042697906494
14.893,4.710780620574951,4.287667274475098
15.002,4.738004684448242,4.321956634521484
15.101,4.764489650726318,4.355868339538574
15.202,4.790522575378418,4.3895583152771
15.302,4.8162126541137695,4.423084259033203
15.401,4.841307163238525,4.45633602142334
15.493,4.865913391113281,4.489373683929443
15.602,4.890269756317139,4.522305488586426
15.702,4.9141950607299805,4.5550618171691895
15.801,4.937742710113525,4.587673187255859
15.902,4.961162090301514,4.620237827301025
16.002,4.984229564666748,4.652683734893799
16.102,5.007076263427734,4.685065269470215
16.201,5.029875755310059,4.71743631362915
16.302,5.0525617599487305,4.749792098999023
16.403,5.075235366821289,4.782171726226807
16.499,5.097970485687256,4.814603328704834
16.6,5.120774745941162,4.847079277038574
16.701,5.14379358291626,4.879677772521973
16.798000000000002,5.167086124420166,4.912421226501465
16.901,5.190688610076904,4.945324420928955
17.002,5.214688777923584,4.978431701660156
17.102,5.23908805847168,5.011743068695068
17.212,5.263782501220703,5.045206546783447
17.302,5.289093017578125,5.07899284362793
17.403,5.314748287200928,5.112961769104004
17.5,5.341184139251709,5.147354602813721
17.607,5.368236541748047,5.182089805603027
17.701999999999998,5.396027088165283,5.217246055603027
17.801,5.424228668212891,5.2526421546936035
17.901,5.453234672546387,5.288515567779541
18.001,5.4827070236206055,5.324671745300293
18.101,5.513207912445068,5.361467361450195
18.202,5.54456090927124,5.398807048797607
18.302,5.576709747314453,5.436666965484619
18.403,5.609402656555176,5.474888801574707
18.502,5.643023490905762,5.513739109039307
18.602,5.677667140960693,5.553297996520996
18.701999999999998,5.71274995803833,5.593165874481201
18.802,5.74886417388916,5.633769512176514
18.902,5.785575866699219,5.674807071685791
19.012,5.82317590713501,5.71649694442749
19.101,5.861567974090576,5.758777618408203
19.201,5.900891304016113,5.801760196685791
19.303,5.940708160400391,5.845119476318359
19.402,5.981445789337158,5.889186859130859
19.499,6.023033142089844,5.933914661407471
19.602,6.065539360046387,5.979363918304443
19.699,6.1088714599609375,6.025468826293945
19.802,6.152588367462158,6.0718793869018555
19.902,6.196742534637451,6.118640422821045
20.002,6.241942405700684,6.166241645812988
20.101,6.2880072593688965,6.21454381942749
20.202,6.334819793701172,6.263454437255859
20.301,6.382330894470215,6.312936305999756
20.403,6.430165767669678,6.36268424987793
20.5,6.478852272033691,6.413129806518555
20.602,6.5279340744018555,6.463901042938232
20.701999999999998,6.577523708343506,6.515089511871338
20.802,6.627828598022461,6.566867351531982
20.902,6.678750038146973,6.619152069091797
21.002,6.730367660522461,6.67201042175293
21.101,6.782227039337158,6.725066184997559
21.202,6.834680557250977,6.778608798980713
21.301,6.887723922729492,6.832631587982178
21.404,6.941235065460205,6.887033462524414
21.495,6.994928359985352,6.941582679748535
21.602,7.048978328704834,6.996417999267578
